time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S.x,E.x,I.x,R1.x,beta_t.x,R0.x,time_diff.x,Rt.x,time.y.y,S.y,E.y,I.y,R1.y,beta_t.y,R0.y,time_diff.y,Rt.y
140.5,1101334250861.8633,631291986731.7771,470042264130.0829,8410,10375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,860012256638.7948,516524529355.2411,343487727283.5485,8566,10681,140.99965575677535,55714,6173,8566,10681,0.3571428571428571,2.5,3.442432246458793e-4,1.435525,140.99965575677535,55714,6173,8566,10681,0.3571428571428571,2.5,3.442432246458793e-4,1.435525
141.5,984462651947.8685,650663196133.0061,333799455814.85834,8661,11034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,1060827915686.944,714606840922.7843,346221074764.16425,8875,11293,141.99996265968815,54040,6290,8875,11293,0.3571428571428571,2.5,3.734031184876585e-5,1.39285,141.99996265968815,54040,6290,8875,11293,0.3571428571428571,2.5,3.734031184876585e-5,1.39285
142.5,1075016336903.4244,725887464429.5638,349128872473.8575,9104,11578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,1079743205358.5955,653692008896.5321,426051196462.0623,9266,11840,142.99983264170103,52329,6388,9266,11840,0.3571428571428571,2.5,1.673582989667466e-4,1.351,142.99983264170103,52329,6388,9266,11840,0.3571428571428571,2.5,1.673582989667466e-4,1.351
143.5,1619295564506.9546,1285960185961.5361,333335378545.4214,9358,12234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,1165955891896.555,764207046322.8044,401748845573.74994,9493,12535,143.9999356708611,50618,6494,9493,12535,0.3571428571428571,2.5,6.432913889398151e-5,1.308225,143.9999356708611,50618,6494,9493,12535,0.3571428571428571,2.5,6.432913889398151e-5,1.308225
144.5,973448709781.1991,525437518160.4817,448011191620.7214,9631,12864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,1014800454849.2214,611900543962.394,402899910886.82776,9751,13212,144.99995662827703,48957,6527,9751,13212,0.3571428571428571,2.5,4.337172296686731e-5,1.26545,144.99995662827703,48957,6527,9751,13212,0.3571428571428571,2.5,4.337172296686731e-5,1.26545
145.5,1292751762091.915,852866678519.68,439885083572.23663,9847,13548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,1124630934226.1648,606044710342.8884,518586223883.285,9938,13923,145.9997754072485,47260,6585,9938,13923,0.3571428571428571,2.5,2.245927514650248e-4,1.223925,145.9997754072485,47260,6585,9938,13923,0.3571428571428571,2.5,2.245927514650248e-4,1.223925
146.5,1051462418954.7706,665195849588.1783,386266569366.58734,10055,14240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,1126253337866.7268,697651638452.9734,428601699413.7567,10143,14530,146.9999164078359,45653,6571,10143,14530,0.3571428571428571,2.5,8.359216408848624e-5,1.1815,146.9999164078359,45653,6571,10143,14530,0.3571428571428571,2.5,8.359216408848624e-5,1.1815
147.5,1094643620989.8848,638961400153.5546,455682220836.3314,10249,14834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,1249747131563.87,734639809966.923,515107321596.94385,10349,15105,147.99964571470815,43974,6639,10349,15105,0.3571428571428571,2.5,3.5428529184855506e-4,1.141325,147.99964571470815,43974,6639,10349,15105,0.3571428571428571,2.5,3.5428529184855506e-4,1.141325
148.5,1160046767552.1265,755523866590.6613,404522900961.4612,10430,15469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,1090818551533.8986,644970809888.3896,445847741645.5125,10547,15725,148.99989044838674,42319,6621,10547,15725,0.3571428571428571,2.5,1.095516132636476e-4,1.09935,148.99989044838674,42319,6621,10547,15725,0.3571428571428571,2.5,1.095516132636476e-4,1.09935
149.5,1418939927712.4707,829400602108.2941,589539325604.1604,10568,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,1204086239992.3508,854990186411.1172,349096053581.2385,10679,16300,149.99994536006187,40765,6549,10679,16300,0.3571428571428571,2.5,5.463993812782064e-5,1.057975,149.99994536006187,40765,6549,10679,16300,0.3571428571428571,2.5,5.463993812782064e-5,1.057975
150.5,1093242768449.6208,645994659070.9667,447248109378.64923,10754,16576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,1272468282822.2175,843629674686.338,428838608135.88727,10795,16917,150.99978559023398,39183,6461,10795,16917,0.3571428571428571,2.5,2.1440976601638795e-4,1.019125,150.99978559023398,39183,6461,10795,16917,0.3571428571428571,2.5,2.1440976601638795e-4,1.019125
151.5,1395769081621.25,725610785828.8303,670158295792.426,10850,17246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,1183208784073.4666,634874510106.0114,548334273967.4525,10829,17524,151.99989169822416,37717,6351,10829,17524,0.3571428571428571,2.5,1.0830177583898148e-4,0.979575,151.99989169822416,37717,6351,10829,17524,0.3571428571428571,2.5,1.0830177583898148e-4,0.979575
152.5,1176128068028.552,704618672787.1145,471509395241.4359,10861,17710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,1283974111741.7952,749472243479.1907,534501868262.6146,10836,17967,152.99998206593943,36325,6260,10836,17967,0.3571428571428571,2.5,1.7934060565494292e-5,0.942925,152.99998206593943,36325,6260,10836,17967,0.3571428571428571,2.5,1.7934060565494292e-5,0.942925
153.5,1560954230466.4058,971321427072.8015,589632803393.6089,10867,18207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,1432986731289.765,1045604367573.9707,387382363715.80457,10913,18479,153.99999103540426,34896,6127,10913,18479,0.3571428571428571,2.5,8.964595735960756e-6,0.908125,153.99999103540426,34896,6127,10913,18479,0.3571428571428571,2.5,8.964595735960756e-6,0.908125
154.5,1363264021828.9927,940455261618.55,422808760210.4395,10900,18726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,1181054604159.1892,735625051652.635,445429552506.55334,10920,18966,154.99994189648578,33551,5941,10920,18966,0.3571428571428571,2.5,5.810351422042004e-5,0.8724,154.99994189648578,33551,5941,10920,18966,0.3571428571428571,2.5,5.810351422042004e-5,0.8724
155.5,1139451641339.0242,723511967240.3047,415939674098.7181,10923,19211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,1243377108486.5015,797998298860.2502,445378809626.2517,10895,19466,155.99999651650563,32285,5675,10895,19466,0.3571428571428571,2.5,3.4834943676287367e-6,0.838775,155.99999651650563,32285,5675,10895,19466,0.3571428571428571,2.5,3.4834943676287367e-6,0.838775
156.5,1277824076394.6975,682508809078.0685,595315267316.6375,10795,19712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,1374438009539.2092,830227649495.8226,544210360043.3936,10700,19919,156.99998583866014,31036,5543,10700,19919,0.3571428571428571,2.5,1.4161339862539537e-05,0.807125,156.99998583866014,31036,5543,10700,19919,0.3571428571428571,2.5,1.4161339862539537e-05,0.807125
157.5,982873389234.2484,534831532070.98303,448041857163.2596,10624,20142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,1338574186146.436,906943332855.6693,431630853290.7635,10576,20307,157.9999319673058,29872,5296,10576,20307,0.3571428571428571,2.5,6.803269420174729e-5,0.7759,157.9999319673058,29872,5296,10576,20307,0.3571428571428571,2.5,6.803269420174729e-5,0.7759
158.5,1032806217507.4698,580967156846.8763,451839060660.6,10513,20497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,1557129768762.5332,992781379055.9634,564348389706.5708,10409,20648,158.99994295074927,28754,5110,10409,20648,0.3571428571428571,2.5,5.7049250727914114e-5,0.7468,158.99994295074927,28754,5110,10409,20648,0.3571428571428571,2.5,5.7049250727914114e-5,0.7468
159.5,1196344355767.3254,731716910345.5961,464627445421.7291,10293,20813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,1137676561640.6118,725982372821.0688,411694188819.5436,10200,20903,159.99999937682722,27736,4880,10200,20903,0.3571428571428571,2.5,6.231727809336007e-7,0.71885,159.99999937682722,27736,4880,10200,20903,0.3571428571428571,2.5,6.231727809336007e-7,0.71885
