time,S,E,I,R1,beta_t,R0,integer_day,time_diff,Rt
85.9957812698091,89230,232,443,1670,0.15866968317602106,1.1106877822321475,86,0.004218730190899578,0.9918997239224193
86.99285748329004,89171,224,453,1649,0.16350983527251506,1.1445688469076054,87,0.00714251670996191,1.0212987820956563
87.99644710947963,89098,241,448,1619,0.16849763417744945,1.1794834392421463,88,0.0035528905203676686,1.0517571776066144
88.9860645603809,89031,230,464,1586,0.173637583794753,1.215463086563271,89,0.013935439619103818,1.0829533008661432
89.99860908452466,88960,232,465,1552,0.1789343254180534,1.252540277926374,90,0.0013909154753406483,1.11514913484063
90.99735731231128,88879,256,462,1525,0.1843926419216929,1.2907484934518505,91,0.0026426876887200024,1.1482498597747661
91.98830588480041,88794,264,480,1496,0.1900174620795882,1.3301222345571175,92,0.01169411519958885,1.1821993408520206
92.99882863256192,88707,282,481,1456,0.19581386501583592,1.3706970551108515,93,0.0011713674380757766,1.2170967431151296
93.99914426926583,88631,295,473,1443,0.2017870847910817,1.412509593537572,94,8.557307341732212e-4,1.252994885139374
94.99650186102325,88538,314,481,1423,0.2079425151287945,1.4555976059015616,95,0.0034981389767523297,1.290110714086613
95.99701247907537,88437,342,477,1419,0.21428571428571427,1.5,96,0.0029875209246341683,1.32807
96.9955907695039,88330,365,489,1405,0.22082241007087014,1.5457568704960911,97,0.0044092304960940965,1.367021003560628
97.99880549156457,88245,366,503,1404,0.22755850501770175,1.5929095351239124,98,0.0011945084354323399,1.407016992374952
98.99793091505174,88130,376,526,1412,0.23450008171395448,1.6415005719976814,99,0.0020690849482605245,1.448542179759354
99.99654730194602,88020,389,551,1409,0.24165340829415993,1.6915738580591195,100,0.0034526980539766328,1.4907840411075022
100.99853923808327,87877,414,600,1388,0.2490249440996631,1.7431746086976418,101,0.0014607619167321673,1.5343422905756643
101.99935360123416,87740,442,613,1406,0.25662134551130616,1.7963494185791433,102,6.463987658378301e-4,1.578577978564794
102.99978692385375,87595,473,618,1435,0.26444947196003515,1.8511463037202462,103,2.1307614625243332e-4,1.624195766884144
103.99764915237652,87429,514,652,1464,0.27251639212085843,1.907614744846009,104,0.0023508476234752607,1.6709751357478617
104.99602205337143,87262,557,704,1466,0.28082939029574916,1.9658057320702442,105,0.003977946628566542,1.718684293491694
105.9998464121954,87064,600,749,1503,0.289395972991255,2.0257718109387852,106,1.5358780460417165e-4,1.7677289976614028
106.9959507209613,86854,664,784,1529,0.2982238756967557,2.0875671298772898,107,0.004049279038696341,1.8175194459563637
107.99772573227713,86639,698,847,1567,0.30732106986948815,2.1512474890864173,108,0.002274267722867762,1.868444494171117
108.99924836976928,86413,737,888,1608,0.316695770132647,2.2168703909285292,109,7.516302307237765e-4,1.9206743379965683
109.99979805406635,86137,821,941,1657,0.32635644169305994,2.2844950918514195,110,2.0194593365374658e-4,1.9741007437215672
110.99976869517496,85824,930,1005,1723,0.33631180798513616,2.3541826558959533,111,2.3130482503574967e-4,2.0278223143090974
111.99890183960476,85503,997,1124,1765,0.3465708585479909,2.4259960098359366,112,0.001098160395244463,2.082086815481594
112.99918680151045,85175,1059,1207,1854,0.3571428571428571,2.5,113,8.131984895527467e-4,2.137575
113.99936022527658,84783,1158,1324,1917,0.3571428571428571,2.5,114,6.397747234245799e-4,2.129375
114.99610169357132,84338,1264,1460,2017,0.3571428571428571,2.5,115,0.003898306428681053,2.119575
115.99954260681199,83895,1362,1600,2098,0.3571428571428571,2.5,116,4.57393188014521e-4,2.10845
116.9998584897432,83381,1529,1681,2241,0.3571428571428571,2.5,117,1.4151025679609575e-4,2.097375
117.99957244598366,82848,1683,1795,2359,0.3571428571428571,2.5,118,4.275540163405367e-4,2.084525
118.99973415303835,82301,1787,1987,2479,0.3571428571428571,2.5,119,2.658469616534376e-4,2.0712
119.99977798815611,81703,1897,2187,2616,0.3571428571428571,2.5,120,2.2201184388848105e-4,2.057525
120.99902696194471,81008,2071,2391,2781,0.3571428571428571,2.5,121,9.730380552923634e-4,2.042575
121.99854348606394,80320,2213,2588,2981,0.3571428571428571,2.5,122,0.00145651393606272,2.0252
122.99965570129268,79518,2446,2791,3186,0.3571428571428571,2.5,123,3.442987073185577e-4,2.008
123.99993518647636,78642,2647,3068,3399,0.3571428571428571,2.5,124,6.481352363607584e-5,1.98795
124.99932334258078,77837,2817,3265,3655,0.3571428571428571,2.5,125,6.766574192198505e-4,1.96605
125.99977460346683,76872,3016,3542,3926,0.3571428571428571,2.5,126,2.2539653316755448e-4,1.945925
126.99970026794523,75861,3238,3794,4226,0.3571428571428571,2.5,127,2.997320547706295e-4,1.9218
127.99981428989699,74851,3458,3995,4594,0.3571428571428571,2.5,128,1.8571010301116075e-4,1.896525
128.9995077410055,73780,3652,4281,4931,0.3571428571428571,2.5,129,4.9225899451244e-4,1.871275
129.99987976021853,72679,3806,4613,5262,0.3571428571428571,2.5,130,1.202397814665801e-4,1.8445
130.9997924316691,71406,4145,4865,5630,0.3571428571428571,2.5,131,2.0756833089308202e-4,1.816975
131.99979915456979,70171,4342,5160,6084,0.3571428571428571,2.5,132,2.0084543021425816e-4,1.78515
132.99961108387407,68839,4570,5491,6494,0.3571428571428571,2.5,133,3.889161259280627e-4,1.754275
133.99972342422154,67447,4760,5849,6959,0.3571428571428571,2.5,134,2.7657577845729975e-4,1.720975
134.99993711992974,65974,5057,6141,7457,0.3571428571428571,2.5,135,6.288007026000741e-5,1.686175
135.99847952317046,64492,5241,6589,7820,0.3571428571428571,2.5,136,0.0015204768295404847,1.64935
136.99988126209632,62951,5455,6952,8361,0.3571428571428571,2.5,137,1.1873790367644688e-4,1.6123
137.99993816922492,61389,5650,7332,8854,0.3571428571428571,2.5,138,6.183077508126189e-5,1.573775
138.99925003201227,59729,5885,7684,9443,0.3571428571428571,2.5,139,7.499679877298604e-4,1.534725
139.99998009097916,58107,6019,8037,10065,0.3571428571428571,2.5,140,1.9909020835484625e-5,1.493225
140.99933753099722,56426,6148,8410,10639,0.3571428571428571,2.5,141,6.624690027763336e-4,1.452675
141.9998102243633,54683,6321,8768,11246,0.3571428571428571,2.5,142,1.897756366986414e-4,1.41065
142.99978964155557,52878,6499,9081,11901,0.3571428571428571,2.5,143,2.1035844443417773e-4,1.367075
143.99995078434148,51248,6537,9341,12564,0.3571428571428571,2.5,144,4.9215658521006844e-5,1.32195
144.9998281972035,49511,6610,9604,13232,0.3571428571428571,2.5,145,1.71802796501197e-4,1.2812
145.9999191636041,47873,6617,9856,13905,0.3571428571428571,2.5,146,8.083639590950042e-5,1.237775
146.9999332319684,46202,6623,10035,14580,0.3571428571428571,2.5,147,6.676803158711664e-5,1.196825
147.99995321707777,44625,6555,10258,15187,0.3571428571428571,2.5,148,4.6782922225929724e-5,1.15505
148.99996462015528,42979,6559,10442,15752,0.3571428571428571,2.5,149,3.537984471790878e-5,1.115625
149.99998341645403,41373,6546,10621,16290,0.3571428571428571,2.5,150,1.658354597111611e-5,1.074475
150.99983563405203,39844,6474,10753,16846,0.3571428571428571,2.5,151,1.6436594796687132e-4,1.034325
151.99975749122905,38317,6396,10836,17416,0.3571428571428571,2.5,152,2.425087709525542e-4,0.9961
152.99992721092937,36795,6367,10796,17971,0.3571428571428571,2.5,153,7.278907062868711e-5,0.957925
153.99979200772057,35438,6109,10852,18576,0.3571428571428571,2.5,154,2.0799227942802645e-4,0.919875
154.9997021998523,34069,5952,10770,19108,0.3571428571428571,2.5,155,2.978001477060843e-4,0.88595
155.99995415223802,32781,5823,10691,19538,0.3571428571428571,2.5,156,4.5847761981576696e-5,0.851725
156.99998053126743,31519,5614,10656,19963,0.3571428571428571,2.5,157,1.946873257452353e-5,0.819525
157.99971444331194,30348,5400,10524,20390,0.3571428571428571,2.5,158,2.855566880555216e-4,0.787975
158.9999992240592,29267,5154,10405,20705,0.3571428571428571,2.5,159,7.759408049423655e-7,0.7587
159.99908208656478,28209,4917,10271,20992,0.3571428571428571,2.5,160,9.179134352166329e-4,0.731675
160.99994942040897,27203,4725,10015,21271,0.3571428571428571,2.5,161,5.057959103282883e-5,0.705225
161.9999232733532,26303,4473,9755,21519,0.3571428571428571,2.5,162,7.672664679603258e-5,0.680075
162.99998385483502,25393,4303,9450,21684,0.3571428571428571,2.5,163,1.614516497738805e-5,0.657575
163.99988361359226,24599,4067,9186,21719,0.3571428571428571,2.5,164,1.1638640773981024e-4,0.634825
164.99975649539644,23838,3818,8870,21842,0.3571428571428571,2.5,165,2.4350460356004078e-4,0.614975
165.999696651844,23102,3666,8518,21897,0.3571428571428571,2.5,166,3.0334815599530884e-4,0.59595
166.9993899817007,22463,3448,8175,21832,0.3571428571428571,2.5,167,6.100182993122871e-4,0.57755
167.99914271925925,21795,3321,7851,21767,0.3571428571428571,2.5,168,8.572807407460914e-4,0.561575
168.9995932538152,21194,3095,7608,21651,0.3571428571428571,2.5,169,4.067461848080711e-4,0.544875
169.99985926815106,20661,2910,7251,21594,0.3571428571428571,2.5,170,1.4073184894414226e-4,0.52985
170.9997865725626,20140,2709,6944,21379,0.3571428571428571,2.5,171,2.1342743738728132e-4,0.516525
171.99976781780697,19682,2516,6631,21157,0.3571428571428571,2.5,172,2.3218219303089427e-4,0.5035
172.99889550818216,19232,2350,6381,20820,0.3571428571428571,2.5,173,0.0011044918178413354,0.49205
173.99975573771206,18830,2150,6112,20567,0.3571428571428571,2.5,174,2.442622879357259e-4,0.4808
174.99982642434443,18457,2005,5769,20399,0.3571428571428571,2.5,175,1.735756555660828e-4,0.47075
175.9999257991378,18103,1884,5465,20039,0.3571428571428571,2.5,176,7.420086220122357e-5,0.461425
176.99993996832688,17764,1766,5162,19664,0.3571428571428571,2.5,177,6.003167311519064e-5,0.452575
177.99797671215484,17441,1653,4906,19293,0.3571428571428571,2.5,178,0.0020232878451622582,0.4441
178.9997788688109,17155,1533,4594,18929,0.3571428571428571,2.5,179,2.2113118910738194e-4,0.436025
179.999785565505,16860,1492,4222,18546,0.3571428571428571,2.5,180,2.144344950067989e-4,0.428875
180.9981090426371,16618,1382,4003,18177,0.3571428571428571,2.5,181,0.001890957362888912,0.4215
181.99890679607032,16368,1307,3758,17789,0.3571428571428571,2.5,182,0.0010932039296847051,0.41545
182.9993302819721,16157,1199,3565,17294,0.3571428571428571,2.5,183,6.697180278933956e-4,0.4092
183.99907932331632,15970,1096,3391,16777,0.3571428571428571,2.5,184,9.20676683676902e-4,0.403925
184.99811594715374,15802,985,3180,16398,0.3571428571428571,2.5,185,0.0018840528462646944,0.39925
185.9993832199198,15618,922,2990,15915,0.3571428571428571,2.5,186,6.167800802074908e-4,0.39505
186.99924549188455,15439,883,2805,15420,0.3571428571428571,2.5,187,7.545081154489708e-4,0.39045
187.99891837608533,15278,823,2622,14952,0.3571428571428571,2.5,188,0.0010816239146720363,0.385975
188.99912806379635,15137,738,2484,14469,0.3571428571428571,2.5,189,8.719362036515577e-4,0.38195
189.99974579449804,15018,679,2332,14022,0.3571428571428571,2.5,190,2.54205501960314e-4,0.378425
190.99986165274137,14905,617,2175,13602,0.3571428571428571,2.5,191,1.383472586269363e-4,0.37545
191.99917462418657,14797,602,1962,13180,0.3571428571428571,2.5,192,8.25375813434448e-4,0.372625
192.99952969895344,14695,559,1854,12672,0.3571428571428571,2.5,193,4.7030104656187177e-4,0.369925
193.9994166845195,14606,526,1742,12180,0.3571428571428571,2.5,194,5.833154804975038e-4,0.367375
194.9999592707088,14525,473,1596,11759,0.3571428571428571,2.5,195,4.072929118592583e-5,0.36515
